CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, 5.703893304e-01, -3.743339479e-01, 1.157770634e+00, -8.284489512e-01, 0, -1, 4486.4
DATA:1, 5.082063675e-01, -2.685007155e-01, 1.021049380e+00, -6.943746805e-01, 0, -1, 4492.8
DATA:1, 4.960746169e-01, -1.920995563e-01, 1.453101397e+00, -5.052238107e-01, 0, -1, 4499.2
DATA:1, 3.934466839e-01, -7.878968120e-02, 1.873491526e+00, -2.843579948e-01, 0, -1, 4502.4
DATA:1, 3.064042628e-01, 8.986614645e-02, 2.004136801e+00, -3.072037548e-02, 0, -1, 4508.8
DATA:1, 2.500597835e-01, 2.276998609e-01, 2.144764662e+00, 2.185580581e-01, 0, -1, 4515.2
DATA:1, 1.663838923e-01, 3.696919680e-01, 1.510557771e+00, 4.417854548e-01, 0, -1, 4521.6
DATA:1, 8.604604006e-02, 4.946749210e-01, 1.342081666e+00, 6.593111753e-01, 0, -1, 4524.8
DATA:1, 1.136113256e-01, 5.570641160e-01, 1.136003613e+00, 8.195016980e-01, 0, -1, 4531.2
DATA:1, -1.662128419e-02, 6.513698697e-01, 6.482042074e-01, 9.412690401e-01, 0, -1, 4537.6
DATA:1, -8.251622319e-02, 7.189636230e-01, 9.465678930e-01, 1.016828895e+00, 0, -1, 4544
DATA:1, -1.228757799e-01, 7.962771058e-01, 7.284073830e-01, 1.005109429e+00, 0, -1, 4547.2
DATA:1, -2.693562508e-01, 9.002341032e-01, 6.478428245e-01, 9.629558325e-01, 0, -1, 4553.6
DATA:1, -3.270801306e-01, 9.773085713e-01, 6.741033792e-01, 8.467338085e-01, 0, -1, 4560
DATA:1, -4.492133856e-01, 1.028304100e+00, 8.331670761e-01, 6.687152982e-01, 0, -1, 4566.4
DATA:1, -5.633947849e-01, 1.068414807e+00, 5.709289312e-01, 4.771185815e-01, 0, -1, 4569.6
DATA:1, -5.467976928e-01, 1.089702845e+00, 7.265732288e-01, 2.382691503e-01, 0, -1, 4576
DATA:1, -5.696312189e-01, 1.083769083e+00, 7.863031030e-01, 3.358580172e-03, 0, -1, 4582.4
DATA:1, -5.835062265e-01, 1.106055737e+00, 8.745706081e-01, -2.354402542e-01, 0, -1, 4588.8
DATA:1, -5.356009007e-01, 1.068488359e+00, 1.090905428e+00, -4.463509619e-01, 0, -1, 4592
DATA:1, -5.489572883e-01, 1.043749094e+00, 1.767746449e+00, -6.335911751e-01, 0, -1, 4598.4
DATA:1, -5.304340720e-01, 9.530957937e-01, 2.630093098e+00, -7.907085419e-01, 0, -1, 4604.8
DATA:1, -5.967741013e-01, 8.795659542e-01, 2.592715740e+00, -8.887670636e-01, 0, -1, 4611.2
DATA:1, -7.044925094e-01, 8.470435143e-01, 2.947136879e+00, -9.209554195e-01, 0, -1, 4614.4
DATA:1, -7.960487604e-01, 7.288960218e-01, 2.732644081e+00, -8.907993436e-01, 0, -1, 4620.8
DATA:1, -8.851913810e-01, 6.324589252e-01, 2.959100485e+00, -7.941038013e-01, 0, -1, 4627.2
DATA:1, -8.313609362e-01, 4.903261065e-01, 2.836139917e+00, -6.489245892e-01, 0, -1, 4633.6
DATA:1, -7.674272060e-01, 3.261981606e-01, 2.443552494e+00, -4.843592942e-01, 0, -1, 4636.8
DATA:1, -7.920366526e-01, 2.275448740e-01, 2.080074787e+00, -2.707303762e-01, 0, -1, 4643.2
DATA:1, -8.125836849e-01, 1.057584137e-01, 1.898230076e+00, -4.089847952e-02, 0, -1, 4649.6
